FISH_N,STRUCT_1_AGE_READER_1,STRUCT_1_AGE_READER_2,STRUCT_2_AGE_READER_1,STRUCT_2_AGE_READER_2,REAL_AGE,FINAL_AGE,YEAR_CLASS_FINAL_AGE,READER_1,READER_2,STRUCTURE,SECTION,MEASUREMENT_AXIS,PICTURE_ID1,PICTURE_ID2,PICTURE_ID3,F-E,F-A1,A1-A2,A2-A3,A3-A4,A4-A5,A5-A6,A6-A7,A7-A8,A8-A9,A9-A10,LA-E,CLEAR_ZONE,COMMENTS
T5586,10,,,,,10,1987,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T5587,11,,,,,11,1986,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T5588,10,,,,,10,1987,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T5589,12,,,,,12,1985,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T5590,11,,,,,11,1986,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T5591,11,,,,,11,1986,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T5593,18,,,,,18,1979,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T5594,10,,,,,10,1987,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T5595,9,,,,,9,1988,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T5596,11,,,,,11,1986,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T5597,12,,,,,12,1985,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
T5598,10,,,,,10,1987,,,OTOLITH,PEEL,,,,,,,,,,,,,,,,,,
