GEN_N,FISH_N,,,,
533,GS_TPP_06272021_MWT_001,,582,CC_COM_08112021_MWT_004,
534,CC_TPP_06272021_MWT_004,,583,NRD_COM_08112021_MWT_001,
535,FHM_TPP_06272021_MWT_001,,584,NRD_COM_08112021_MWT_003,
536,CC_TPP_06272021_MWT_003,,585,NRD_COM_08112021_MWT_002,
537,BB_TPP_06272021_MWT_002,,586,BND_PRL_08102021_MWT_005,
587,BND_PRL_08102021_MWT_003,,,C006,ST_PRL_08122021_MWT_001
589,BND_PRL_08102021_MWT_002,,,C007,ST_PRL_08122021_MWT_002
590,BND_PRL_08102021_MWT_004,,,C008,ST_PRL_08122021_MWT_003
591,BND_PRL_08102021_MWT_001,,,C009,ST_PRL_08122021_MWT_004
592,NRD_COM_08102021_MWT_002,,,C005,NRD_COM_08102021_MWT_001
593,NRD_COM_08102021_MWT_003,,,C002,CC_COM_08102021_MWT_012
594,NRD_COM_08102021_MWT_004,,,C004,CC_COM_08102021_MWT_013
595,BND_PRL_08112021_MWT_013,,,C003,CC_COM_08102021_MWT_014
596,BND_PRL_08112021_MWT_011,,,C001,CC_COM_08102021_MWT_015
597,BND_PRL_08112021_MWT_009,,,,
598,BND_PRL_08112021_MWT_012,,,,
599,BND_PRL_08112021_MWT_007,,,,
600,BND_PRL_08112021_MWT_008,,,,
601,BND_PRL_08112021_MWT_005,,,,
602,BND_PRL_08112021_MWT_006,,,,
603,BND_PRL_08112021_MWT_010,,,,
604,LLS_PRL_8112021_GLN_001,,,,
605,LLS_PRL_8112021_GLN_002,,,,
606,LLS_PRL_8112021_GLN_003,,,,
607,LLS_PRL_8112021_GLN_004,,,,
608,ST_PRL_8112021_GLN_002,,,,
609,ST_PRL_8112021_GLN_003,,,,
