ST,BT,RT,CLM,NP,CP,CRP,GS,CS,CC,WS,NRD,BM,BB,PS,RB,YP,LMB,SMB,RBS,BC,BS,MM,BND,BK,LT,SPL,KOK,LNS,LC,FF,PD,BG,WE,TM,YB,RWF,FHM,SS,LND,LLS,ESM,RS,BRM,LWF,CIS,TGT,AE,FSD,CCS,SAL,MCS,BDS,AW,NF, Volume(m3),Littoral Area (ha),Elevation (m), Watershed,Quad
,,,,,,,1,,,9,,,7,,,88,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,868309,16.6,493,Champlain,Upper Saranac Lake 
,,,,,,,4,,,24,,,14,1,,83,1,2,,,,,,,17,,,,,1,,,,,,2,,,,,,4,,2,3,,,,,,,,,,14777670,45.3,493,Champlain,Upper Saranac Lake 
1,,,,,,,,,,31,6,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31627,2.4,506,Champlain,Upper Saranac Lake 
,,,,,,,,,,,,,78,21,,644,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823011,2.3,492,Champlain,Upper Saranac Lake 
,,,,,,,58,,,,,,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33244,4.2,495,Champlain,Upper Saranac Lake 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29982,0.1,480,Champlain,Upper Saranac Lake 
,,,,,,,,,,,,,36,8,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11482,0.8,480,Champlain,Upper Saranac Lake 
,,,,1,,,1,,,2,,,4,3,,129,,1,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,12483230,56.8,480,Champlain,Upper Saranac Lake 
,,,,6,,,,,,,,,25,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23675,0.9,480,Champlain,Upper Saranac Lake 
,,,,5,,,3,,,49,,,4,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1083906,8.3,481,Champlain,Upper Saranac Lake 
,,,,,,,16,,,,,,,1,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20860,0.6,487,Champlain,Upper Saranac Lake 
44,,6,,,,,,,,,1,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1415464,7,484,Champlain,Upper Saranac Lake 
,,,,10,,,,,,1,,,1,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88154,2.8,482,Champlain,Upper Saranac Lake 
,,,,4,,,27,,,1,,,177,2,,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169547,21.4,489,Champlain,Upper Saranac Lake 
19,,26,,,,,23,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1645927,12.7,481,Champlain,Upper Saranac Lake 
,,,,,,,,,,1,,,7,2,,23,,28,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4900966,6.6,490,Champlain,Upper Saranac Lake 
,,,,,,,10,,,1,,,9,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19983,2,491,Champlain,Upper Saranac Lake 
1,,2,,,,,,,,89,,,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2387882,4.5,481,Champlain,Upper Saranac Lake 
2,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77341,0.8,494,Champlain,Upper Saranac Lake
6,17,,,,,,15,,,1,,,,,,,,,,,,,37,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,433336,4.4,492,Champlain,Upper Saranac Lake 
,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5897,0.8,479,Champlain,Upper Saranac Lake 
17,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218455,1.1,485,Champlain,Upper Saranac Lake 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,44266,0.4,492,Champlain,Upper Saranac Lake 
9,,,,,,,16,,,20,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,569,,2,,,,,,,,,,,,,15350690,20.9,487,Champlain,Upper Saranac Lake 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33828,0.3,497,Champlain,Upper Saranac Lake 
,,1,,,,,,,1,,,,2,1,,,,,,,,,,,,,175,,,,,,,,,,646,,,,,,,,,,,,,,,,,,1553386,8.4,488,Champlain,Upper Saranac Lake 
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308664,3.4,492,Champlain,Upper Saranac Lake 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3121,0.5,493,Champlain,Upper Saranac Lake 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,49502,0.8,500,Champlain,Upper Saranac Lake 
,,,,14,,,24,,,,,,53,27,,59,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509033,46.5,491,Champlain,Upper Saranac Lake 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,91712,0.8,493,Champlain,Upper Saranac Lake 
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136216,2.3,497,Champlain,St Regis Mtn. 
6,,,,,,,,,,,2692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145725,3.9,496,Champlain,St Regis Mtn. 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22727,0.3,497,Champlain,Upper Saranac Lake 
,,,,3,,,,,,,,,1,17,,114,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,865403,5.5,485,Champlain,Upper Saranac Lake
1,,,,,,,51,,,,1,,9,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6244,0.8,488,Champlain,Upper Saranac Lake 
,,,,12,,,10,,,,,,121,18,,35,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93169,5.7,472,Champlain,Upper Saranac Lake 
,,,,1,,,7,,,,,,11,12,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98500,3.3,469,Champlain,Upper Saranac Lake 
,,,,9,,,1,,,,,,18,14,,256,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2082693,39.3,468,Champlain,Upper Saranac Lake 
,,,,,,,,,49,,,,9,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115686,7.7,435,Champlain,Peasleeville 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12328,2,375,Champlain,Ausable Forks 
9,1,,,,,,,,8,55,2,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179099,16.7,381,Champlain,Peasleeville 
4,,,,,,,7,,29,51,,,29,4,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318440,6.3,329,Champlain,Peasleeville 
3,,,,,,,,,2,,6,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40807,7.8,366,Champlain,Redford
5,,,,,,,3,,2,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21761,2.6,499,Champlain,Wilmington 
2,,,,,,,3,,2,9,30,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20835,4.8,446,Champlain,Redford 
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7028,1.2,922,Champlain,Wilmington 
,,,,,,,,246,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,18280,1.5,561,Champlain,Lake Placid 
3,5,,,,,,,,31,16,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,284002,4.2,515,Champlain,Lake Placid 
