Pond #,Pond Name,Town,Quad,Park,Ownership,Wilderness Area,County, Watershed, LTM, Primitive Area, Wild Forest Area,Latitude,Longitude,Watershed Area (ha), Volume(m3),WA/SA ratio,Max Depth (m),NYTMN,NYTME,Runoff (cm),Littoral Area (ha),%Shore Slope >5deg,Mean Depth (m),Elevation (m), Surface Area (ha),Flushing Rate(times/yr),Shoreline Length (km),Date,ST,BT,RT,CLM,NP,CP,CRP,GS,CS,CC,WS,NRD,BM,BB,PS,RB,YP,LMB,SMB,RBS,BC,BS,MM,BND,BK,LT,SPL,KOK,LNS,LC,FF,PD,BG,WE,TM,YB,RWF,FHM,SS,LND,LLS,ESM,RS,BRM,LWF,CIS,TGT,AE,FSD,CCS,SAL,MCS,BDS,AW,NF
50703,TROUT POND ,Newcomb ,Newcomb ,Y ,Private ,None ,Essex,Upper Hudson,N,None,None,435848,740102,224.7,1012298,8.3,6.1,48700,5793,76,7.5,5,3.7,552,27.2,1.7,2.5,10/15/1987,58,,,,,,,,,1,,1,,619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50705,LIVINGSTON POND ,Newcomb ,Mt. Marcy ,Y ,Public ,High Peaks ,Essex,Upper Hudson,N,None,None,440641,735919,27.2,39619,22.7,7,48844,5809,64,0.6,2,3.3,846,1.2,4.4,0.4,10/20/1987,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50706,LAKE COLDEN ,Newcomb ,Mt. Marcy ,Y ,Public ,High Peaks ,Essex,Upper Hudson,Y,None,None,440709,735859,645.4,355294,41.9,7.3,48858,5817,64,12,30,2.3,842,15.4,11.6,2.2,10/19/1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
50707,AVALANCHE LAKE,Keene,Keene Valley,Y,Public,High Peaks,Essex,Upper Hudson,Y,None,None,440751,735813,115.2,146254,26.2,7,48870,5826,64,2.2,1,3.3,873,4.4,5,1.4,10/21/1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
60006,CLOSE POND ,Colton ,Rainbow Falls ,N ,Public ,None ,St. Lawrence,Raquette,N,None,None,443341,745148,95.9,34579,27.4,6.7,49339,5105,51,3.3,30,1,369,3.5,14.1,1.1,9/4/1986,,,,,,,,,,1,,25,,133,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060006A,COLTON FLOW ,Colton ,Colton ,N ,Private ,None ,St. Lawrence,Raquette,N,None,None,443319,745624,254550.6,1350475,4200.5,7.6,49319,5050,51,44.2,10,2.2,255,60.6,961.4,15,9/2/1986,,,,,4,,,,,,4,,,6,20,71,50,,13,,,,,,,,,,,,4,,,6,,,,,,,,,,,,,,,,,,,,,
60008,JOHNS (GREEN) POND ,Colton ,Colton ,N ,Private ,None ,St. Lawrence,Raquette,N,None,None,443118,745632,98.3,149818,7.5,2.7,49298,5044,51,13.1,50,1.1,273,13.1,3.3,2.4,9/24/1985,,,,,17,,,39,,,,,,128,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60011,ARBUCKLE POND,Colton,Colton,N,Private,None,St. Lawrence,Raquette,N,None,None,443049,745505,39.9,1292084,2.3,24.1,49290,5065,51,6.3,0,7.4,269,17.4,0.2,3,9/23/1985,,,,,,,,,,,,,,12,111,44,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60013,FRENCH LAKE ,Colton ,Stark ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,442804,745137,56.1,72654,9.7,4,49238,5109,64,5.2,10,1.3,418,5.8,4.9,1,9/23/1985,4,,,,,,,204,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60014,BARNEY POND,Parishville,Stark,Y,Private,None,St. Lawrence,Raquette,N,None,None,442758,744837,119.3,191560,7.8,3,49239,5154,64,15.3,99,1.3,387,15.3,4,3.2,9/23/1985,2,,,,,,,,,12,100,,,209,1,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60015,HUGGARD POND ,Colton ,Stark ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,442645,744817,1537.7,90865,152.2,3.4,49207,5156,64,10,40,0.9,372,10.1,108.3,3.5,9/3/1986,19,,,,,,,,,60,22,,,54,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,
060015A,LOWER HUGGARD POND ,Colton ,Stark ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,442700,744848,1734.7,14183,754.2,1.5,49216,5151,64,2.3,45,0.6,369,2.3,782.9,0.9,9/24/1985,10,,,,,,,,,129,30,36,,44,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,
060017A,SOUTH COLTON RESERVOIR ,Colton ,Colton ,N ,Private ,None ,St. Lawrence,Raquette,N,None,None,443102,745253,244524.6,4444548,2492.6,14.3,49300,5105,51,35,30,4.5,297,98.1,280.6,9.1,9/25/1985,,,,,,,,,,,8,,,1,10,99,30,,9,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
60018,ROCK POND ,Parishville ,Rainbow Falls ,Y ,Public ,None ,St. Lawrence,Raquette,N,None,Clear Pond,443251,744733,124.7,229445,18.1,7.9,49327,5166,51,3,80,3.3,405,6.9,2.8,1,10/5/1984,,,,,,,,,,,,123,,,118,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
60019,UNNAMED POND ,Colton ,Rainbow Falls ,N ,Private ,None ,St. Lawrence,Raquette,N,None,None,443222,745048,45.3,6183,75.5,1.2,49316,5120,51,0.6,20,1,344,0.6,37.4,0.3,9/26/1985,,,,,,,,31,,86,,2,,,27,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,
60020,NORTHERN HORTON POND ,Colton ,Rainbow Falls ,N ,Private ,None ,St. Lawrence,Raquette,N,None,None,443034,745008,34.2,191286,3.9,4.3,49285,5129,51,6,10,2.2,377,8.7,0.9,1.7,9/3/1986,1,,,,,,,15,,44,,19,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60021,SOUTHERN HORTON POND ,Colton ,Rainbow Falls ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,443029,744945,131,52735,28.5,2.1,49282,5135,51,4.6,10,1.1,377,4.6,12.7,1.4,9/25/1985,,,,,,,,33,,,,8,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060021A,FIVE FALLS RESERVOIR ,Colton ,Rainbow Falls ,N ,Private ,None ,St. Lawrence,Raquette,N,None,None,443147,745038,241395.5,3808829,4112.4,12.2,49305,5129,51,16.8,3,6.5,328,58.7,323.2,5.2,10/29/1984,,,,,3,,,,,,3,,,,7,16,23,,4,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
60023,ORMSBEE POND ,Parishville ,Stark ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,442937,744753,20.1,70785,5.6,8.8,49266,5161,64,2.9,20,2,411,3.6,1.8,0.7,9/26/1985,,,,,,,,,,,,2,,233,1657,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,
60025,LILYPAD POND ,Parishville ,Rainbow Falls ,Y ,Public ,None ,St. Lawrence,Raquette,N,None,Clear Pond,443145,744559,87.1,91884,22.3,7.3,49308,5189,51,2.7,2,2.4,448,3.9,4.8,1,10/1/1986,4,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60027,LITTLE ROCK POND ,Parishville ,Rainbow Falls ,Y ,Public ,None ,St. Lawrence,Raquette,N,None,Clear Pond,443250,744655,111,30083,55.5,3.7,49323,5176,51,1.7,50,1.5,381,2,1.9,0.8,10/5/1984,2,,,,,,,,,5,12,,,56,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60028,LONG POND ,Parishville ,Rainbow Falls ,Y ,Public ,None ,St. Lawrence,Raquette,N,None,Clear Pond,443220,744607,110.4,296374,11.9,6.1,49313,5183,51,3.7,15,3.2,405,9.3,1.9,1.3,6/23/1986,4,,,,,,,107,,8,54,,,47,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60029,STERLING POND ,Parishville ,Sylvan Falls ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,443217,744338,189.9,793508,7.1,5.8,49319,5216,51,10.7,2,3,415,26.6,1.2,2.5,9/29/1986,14,,,,,,,28,,4,2,11,80,103,14,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
60031,JOE INDIAN POND ,Parishville ,Carry Falls Reservoir ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,442858,744425,5311.7,2320029,38.5,3.4,49256,5218,64,114.4,50,1.7,394,138.1,14.7,7.6,9/23/1985,,,,,,,,44,2,1,89,,,161,96,24,97,,22,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,
060031A,UNNAMED POND ,Hopkinton ,Carry Falls Reservoir ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,442815,744012,106.5,10134,81.9,1.2,49241,5264,64,1.3,60,0.8,436,1.3,67.3,0.6,10/2/1986,,,,,,,,55,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60033,KILDARE POND ,Hopkinton ,Carry Falls Reservoir ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,442629,744142,158.4,90085,12.6,4.3,49212,5242,64,12.4,15,0.7,436,12.6,11.3,1.9,6/25/1986,59,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60035,WHITNEY POND ,Hopkinton ,Carry Falls Reservoir ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,442706,743746,40.9,26815,12.8,1.8,49220,5289,64,3.2,80,0.8,462,3.2,9.8,1.1,9/24/1985,1,,,,,,,,,43,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060035A,KETTLE POND ,Hopkinton ,Carry Falls Reservoir ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,442606,743735,21.2,115328,8.2,11.3,49201,5297,64,1,60,4.4,460,2.6,1.2,0.6,9/24/1985,28,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060035D,FOX MARSH POND ,Colton ,Stark ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,442338,744531,308.7,23376,79.2,1.5,49150,5192,64,3.9,85,0.6,472,3.9,84.5,2.7,9/30/1986,,,,,,,,,,8,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60036,MIDGET POND ,Colton ,Carry Falls Reservoir ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,442546,744205,21.1,17017,30.1,4,49196,5238,64,0.4,5,2.4,443,0.7,7.9,0.3,9/25/1985,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60037,UNNAMED POND ,Hopkinton ,Carry Falls Reservoir ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,442327,744056,13.9,3953,69.5,3.4,49151,5253,64,0.2,99,2,455,0.2,22.5,0.2,10/2/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
60039,MCCUEN POND ,Hopkinton ,Carry Falls Reservoir ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,442328,744030,41.7,18803,16,1.2,49153,5260,64,2.6,75,0.7,454,2.6,14.2,0.8,6/23/1986,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60040,BUCK POND ,Hopkinton ,Carry Falls Reservoir ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,442426,743953,81.6,93989,10.1,2.4,49172,5265,64,8.1,80,1.2,467,8.1,5.6,1.1,6/23/1986,7,,,,,,,774,,13,2,104,,100,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60041,AMBER LAKE,Hopkinton,Carry Falls Reservoir,Y,Private,None,St. Lawrence,Raquette,N,None,None,442357,743738,366.8,451290,8.1,2.1,49160,5303,64,45.2,2,1,463,45.2,5.2,4.1,6/24/1986,13,,,,,,,44,,3,107,,,149,10,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60046,JORDAN LAKE ,Hopkinton ,Augerhole Falls ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,442234,743703,851.4,2684394,11.9,9.8,49138,5310,64,32.2,10,3.8,458,71.5,2,5,6/16/1986,29,,,,,,,243,,4,19,,,16,27,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60047,LITTLE JORDAN LAKE ,Hopkinton ,Augerhole Falls ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,442305,743533,210.1,69649,31.4,2.1,49146,5327,64,6.7,90,1,468,6.7,19.3,1.2,6/17/1986,11,,,,,,,62,,1,,,,45,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60048,DEER POND ,Hopkinton ,Childwold ,Y ,Public ,None ,St. Lawrence,Raquette,N,None,Jordon River,442108,743807,138.8,94889,12.3,1.5,49108,5288,64,11.3,99,0.8,459,11.3,9.4,1.6,9/6/1984,,,,,,,,21,4,19,72,,,254,20,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60049,OTTER POND ,Hopkinton ,Mt. Matumbla ,Y ,Mixed ,None ,St. Lawrence,Raquette,N,None,Jordon River,442205,743530,86.9,68648,18.9,2.4,49126,5323,64,4.4,70,1.5,461,4.6,4.3,1,9/5/1984,7,,,,,,,31,5,15,12,1,,27,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60050,ROCK POND ,Altamont ,Mt. Matumbla ,Y ,Private ,None ,Franklin,Raquette,N,None,None,442207,743317,368.8,175099,22,1.8,49122,5355,64,16.8,70,1,467,16.8,13.5,1.7,6/18/1986,,,,,,,,23,,1,44,,,152,25,,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60051,POTTER POND ,Altamont ,Augerhole Falls ,Y ,Private ,None ,Franklin,Raquette,N,None,None,442253,743323,584.2,117816,39.2,1.2,49143,5356,64,14.9,25,0.8,462,14.9,31.7,1.9,6/25/1985,1,,,,,,,50,17,5,40,,,26,2,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060051B,UNNAMED POND ,Hopkinton ,Augerhole Falls ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,442321,743342,0,0,0,0,49149,5349,0,0,99,0,469,0.1,0,0,10/1/1986,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60052,SPRING POND ,Altamont ,Mt. Matumbla ,Y ,Private ,None ,Franklin,Raquette,N,None,None,442200,743037,230.5,51165,164.6,4.6,49125,5391,64,0.3,99,3.7,472,1.4,28.8,0.4,6/17/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
60053,MOUNTAIN POND ,Altamont ,Upper Saranac Lake ,Y ,Private ,None ,Franklin,Raquette,N,None,None,441947,742845,156.7,108794,27,4.3,49083,5418,64,5,20,1.9,527,5.8,9.2,1.1,10/24/1985,10,,,,,,,,1,33,69,36,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60054,WILLIS POND ,Altamont ,Mt. Matumbla ,Y ,Private ,None ,Franklin,Raquette,N,None,None,442042,743018,364.7,830706,10.4,4.3,49108,5399,64,18.7,20,2.4,477,35,2.8,5.4,9/29/1986,4,,,,,,,67,32,2,157,,,29,74,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60055,UNNAMED POND ,Altamont ,Mt. Matumbla ,Y ,Private ,None ,Franklin,Raquette,N,None,None,442045,743025,7.4,31699,6.7,8.2,49101,5393,64,0.6,50,2.9,478,1.1,1.5,0.4,9/29/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
60056,MUD POND ,Altamont ,Upper Saranac Lake ,Y ,Private ,None ,Franklin,Raquette,N,None,None,442130,742935,41.5,75916,7.4,3,49118,5406,64,5.6,50,1.4,483,5.6,3.5,1.2,5/13/1985,,,,,,,,11,1,6,18,,,69,118,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60057,SUNSET POND ,Altamont ,Mt. Matumbla ,Y ,Private ,None ,Franklin,Raquette,N,None,None,441901,743057,351.9,14920,135.3,1.5,49068,5388,64,2.6,99,0.6,466,2.6,151,0.9,6/19/1986,1,,,,,,,122,4,3,11,,,30,1,,20,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060057A,PITCHFORK POND ,Altamont ,Mt. Matumbla ,Y ,Private ,None ,Franklin,Raquette,N,None,None,441700,743000,80.3,569346,5.1,8.2,49032,5397,64,4.7,10,3.6,490,15.8,0.9,2.8,10/2/1985,,8,,,,,,35,,,98,,,1220,,,,,,,,,,,,,,,,,,,,,,,,192,,,,,,,,,,,,,,,,,
60059,UNNAMED POND ,Colton ,Childwold ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,442211,744337,34.4,20169,21.5,4.3,49125,5219,64,1.6,90,1.3,423,1.6,10.9,1,9/17/1985,,,,,,,,18,,,,18,,15,,,,,,,,,2,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,1,,
60060,UNNAMED POND ,Colton ,Childwold ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,442200,744327,13.2,49323,8.8,8.5,49125,5220,64,0.7,95,3.3,571,1.5,1.7,0.6,9/17/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
60061,LONE POND ,Colton ,Brother Ponds ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,442055,744532,13.4,60044,4.5,3.7,49103,5193,64,2.5,65,2,472,3,1.4,0.7,6/24/1986,33,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60062,LEONARD POND ,Colton ,Childwold ,Y ,Mixed ,None ,St. Lawrence,Raquette,N,None,Leonard Pond,441952,744357,274.4,253281,13.3,3,49086,5209,64,20.6,60,1.2,447,20.6,6.9,2.3,10/2/1984,,,,,,,,,,,1,,,30,49,,128,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60063,CROOKED LAKE ,Colton ,Childwold ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,442030,744409,217.4,391281,9.7,4,49098,5208,64,20.3,2,1.8,447,22.3,3.6,4,9/16/1985,,,,,5,,,34,,,29,,,20,8,,37,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
60064,ROBERTS POND ,Colton ,Childwold ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,442045,744436,5.9,10571,19.7,7.9,49102,5205,64,0.1,70,3.5,460,0.3,3.6,0.3,9/16/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
60065,PRESTON POND ,Colton ,Childwold ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,442045,744357,13.9,61896,8.7,9.8,49101,5213,64,0.7,90,3.9,456,1.6,1.4,0.5,9/17/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
60067,UNNAMED POND ,Colton ,Childwold ,Y ,Public ,None ,St. Lawrence,Raquette,N,None,Unnamed,441839,744318,10.5,7835,26.2,3.3,49063,5222,64,0.4,75,1.9,444,0.4,8.6,0.3,10/2/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
60068,MUD POND ,Piercefield ,Childwold ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,441738,743927,46.3,7311,42.1,0.9,49045,5273,64,1.1,99,0.7,466,1.1,40.5,0.5,10/3/1985,,,,,,,,,,,,,,13,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60070,WINDFALL POND ,Piercefield ,Childwold ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,441946,743742,118.9,45641,17.7,1.5,49084,5297,64,6.7,30,0.7,474,6.7,16.7,1.5,6/25/1985,2,,,,,,,310,,3,50,77,,40,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60073,SEVEN SISTERS(LINE) POND ,Piercefield ,Mt. Matumbla ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,441707,743712,76.9,78391,35,7,49034,5304,64,0.9,50,3.6,468,2.2,6.3,0.6,9/30/1985,,,,,,,,,,,,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60074,SEVEN SISTERS POND ,Piercefield ,Mt. Matumbla ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,441656,743708,59.2,129239,19.7,10.7,49030,5305,64,1.2,90,4.3,468,3,2.9,0.7,9/30/1985,,,,,,,,,,,,,,,,,,,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60075,UNNAMED POND ,Piercefield ,Mt. Matumbla ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,441645,743657,10.6,41385,9.6,4.9,49028,5306,64,0.3,90,3.8,466,1.1,1.6,0.4,10/14/1986,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60077,SEVEN SISTERS POND ,Piercefield ,Mt. Matumbla ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,441647,743607,14.1,52862,9.4,5.8,49028,5318,64,0.5,10,3.5,460,1.5,1.7,0.5,6/19/1986,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60078,MARSH POND ,Piercefield ,Mt. Matumbla ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,441554,743631,76.6,79077,9.9,1.8,49014,5312,64,7.7,99,1,472,7.7,6.2,1.5,10/14/1986,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60079,UNNAMED POND ,Altamont ,Mt. Matumbla ,Y ,Private ,None ,Franklin,Raquette,N,None,None,441614,743207,17.5,18626,11.7,4.9,49019,5371,64,1.4,10,1.2,521,1.5,6,0.5,6/25/1985,,,,,,,,,,,,18,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60080,EAGLE CRAG LAKE ,Piercefield ,Piercefield ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,441116,743638,376.4,4007052,6.2,15.2,48916,5312,64,13.7,2,6.6,513,60.3,0.6,5.4,10/22/1986,4,,,,,,,1,1,,127,,,69,3,,30,,18,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
60081,BUCK POND ,Piercefield ,Piercefield ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,441041,743718,27,7173,33.8,1.2,48916,5302,64,0.3,10,0.9,567,0.8,24.1,0.4,10/22/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
60082,LILYPAD POND ,Piercefield ,Piercefield ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,441150,743557,256.5,14942,111.5,0.9,48933,5322,64,2.3,20,0.6,505,2.3,109.9,0.7,5/13/1986,,,,,,,,6,,,2,,,,1,,32,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60084,PINE POND ,Colton ,Piercefield ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,440830,743927,47.4,90889,8.8,2.7,48877,5273,76,5.4,40,1.7,527,5.4,4,1.4,9/19/1985,,,,,,,,,,,,,,1131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60085,PIERCEFIELD FLOW ,Piercefield ,Piercefield ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,441400,743358,195864.9,3183215,1316.3,15.2,48972,5370,64,123.3,15,2.1,469,148.8,393.8,13.4,10/23/1985,,,,,18,,,28,,,19,,,69,7,41,24,,2,,,,,,17,,,,,,,,,5,,,,,,,,,,,,,,,,,,,10,,
60087,GULL POND ,Altamont ,Piercefield ,Y ,Private ,None ,Franklin,Raquette,N,None,None,441259,743127,702.2,11975150,6,23.2,48951,5378,64,20.8,2,10.2,475,117.3,0.4,6.4,5/12/1986,,,2,,,,,,,,37,,,23,2,166,77,,2,,,,,,,23,,,,,,,,,,,,,,,,,13,,1,,,,,,,,,,
60088,MINNOW POND ,Piercefield ,Piercefield ,Y ,Private ,None ,St. Lawrence,Raquette,N,None,None,441137,743151,38.1,144357,5.7,4,48931,5373,64,4.2,99,2.2,491,6.7,1.7,1.2,6/24/1985,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60091,WOODBURY POND ,Altamont ,Upper Saranac Lake ,Y ,Private ,None ,Franklin,Raquette,N,None,None,441536,742546,327,70850,58.4,2.4,49008,5457,64,5.6,65,1.3,477,5.6,29.5,1,6/25/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
60093,LEAD POND ,Altamont ,Upper Saranac Lake ,Y ,Mixed ,None ,Franklin,Raquette,N,None,Saranac Lakes,441641,742509,289,589052,8.6,3.7,49030,5468,64,29,15,1.7,483,33.6,3.1,3.1,5/31/1984,,,,,20,,,,,,,1,,40,6,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60094,UNNAMED POND ,Altamont ,Upper Saranac Lake ,Y ,Private ,None ,Franklin,Raquette,N,None,None,441642,742528,12.9,29095,6.5,1.8,49028,5460,64,2,99,1.5,488,2,2.8,0.5,10/17/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
60095,LITTLE WOLF LAKE ,Altamont ,Upper Saranac Lake ,Y ,Private ,None ,Franklin,Raquette,N,None,None,441506,742823,236.9,2944648,3.7,9.1,48999,5415,64,20.1,65,4.6,481,63.7,0.5,3.5,10/3/1985,,,,,3,,,1,,,42,,,17,5,28,33,,7,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,
60096,HAYMEADOW POND ,Altamont ,Mt. Matumbla ,Y ,Private ,None ,Franklin,Raquette,N,None,None,441624,743040,105.3,152065,13.5,4.3,49019,5387,64,5.8,15,1.9,487,7.8,4.4,1.7,10/23/1986,1,,,,,,,28,,1,17,,,92,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60098,TOUGUE (LOST) POND ,Altamont ,Upper Saranac Lake ,Y ,Private ,None ,Franklin,Raquette,N,None,None,441636,742925,71.8,231919,5.7,3.4,49024,5409,64,11.5,20,1.8,480,12.7,2,1.5,10/23/1986,,,,,1,,,30,,,61,,,116,1,,21,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
