LONG ,LAT ,SO4_mgL,NO3_mgL,ANC,DIC,DOC,P_total,SIO2_mgL,Ca_mgL,Na_mgL,Fe_mgL,LAB_pH
73.5479,43.82117222,6.51,0,321,3.45,1.7,0.004,0.2,7.78,0.48,0.001,6.92
73.57179167,43.83922778,6.18,0,109.5,1.32,3.6,0.014,0.9,3.45,0.46,0.03,7.12
73.58095556,43.81561667,5.29,0,83.3,0.94,6.7,0.012,0.5,2.92,0.37,0.038,6.66
73.59706944,43.82283889,6.42,0,86.7,0.96,3.1,0.009,1.9,3.16,0.46,0.012,7.05
73.59401389,43.83783889,6.8,0,102.9,1.2,2.4,0.004,2.7,3.26,0.5,0.005,7.18
73.59123611,43.83422778,4.19,0,208.2,2.63,7.1,0.013,2.5,4.41,0.49,0.168,6.96
73.58234722,43.83756111,6.76,0,98.2,1.31,3.4,0.008,0.9,3.4,0.49,0.018,6.99
73.57345833,43.84978333,7.2,0,91.2,1.28,5.5,0.012,1.7,3.74,0.52,0.02,6.63
73.46678889,43.90089167,8.78,0,609.8,7.82,3.1,0.014,0.7,14.03,0.6,0.025,8.23
73.49817778,43.88394722,7.72,0,1458.5,18.19,4.2,0.005,0.9,30.92,5.63,0.01,8.64
73.44567222,43.72728333,7.79,0,1136.9,11.48,13.5,0.024,6.4,21.97,0.77,0,9.65
73.47816944,43.62062222,4.14,0,897,,6.1,0.02,2.2,16.98,6.02,0.119,7.18
73.48233611,43.61062222,5.53,0,310.5,3.74,4.6,0.016,0.5,5.66,0.57,0.003,7.66
73.53456111,43.5984,5.59,0,68.2,2.71,8.4,0.022,2.4,2.63,0.43,0.204,5.86
73.52511667,43.59784444,6.61,0,126,4.59,10.7,0.033,3.9,4.16,0.51,0.306,5.92
73.745675,43.38729167,6,0,429.7,6.26,5.4,0.021,7.2,8.82,5.47,0.084,7.22
73.75928611,43.38479167,8.46,0,435,6.07,3.4,0.008,6.8,9.12,3.68,0.069,7.86
73.695675,43.5459,6.02,,363.5,4.77,3.7,0.006,2.4,7.34,1.95,0.015,7.77
73.68373056,43.57895556,6.12,,92.1,1.26,8.7,,4.6,2.99,0.67,0.023,6.73
73.63623056,43.60673333,5.03,0,179.5,2.81,4.4,0.022,2.8,4.46,0.7,0.023,7.13
73.64623056,43.62784444,5.58,,225,3.22,6.2,0.02,1.5,4.46,0.53,0.04,6.9
73.578175,43.65784167,4.53,,162.3,2.46,12.1,,5.4,5.25,11.32,0.118,6.28
73.63151111,43.64923333,7.29,,195.8,2.68,5,0.007,1.5,5.05,0.73,0.062,7.3
73.64428889,43.68284167,5.18,0,260.5,3.4,4.9,0.008,0.9,6.38,0.5,0.02,7.18
73.65428889,43.68061944,3.9,0,260.8,3.75,11.2,0.016,1.2,6.62,0.33,0.054,6.74
